 

stn;time;sremaxdv;su2000d0
BAS;20240411;82;10.3
BAS;20240412;93;11.6
BAS;20240413;98;12.3
BAS;20240414;91;11.5
BAS;20240415;26;3.2
BAS;20240416;36;4.5
BAS;20240417;17;2.2
BAS;20240418;27;3.4
BAS;20240419;0;0.0
BAS;20240420;22;2.8
BAS;20240421;12;1.5
BAS;20240422;0;0.0
BAS;20240423;1;0.2
BAS;20240424;13;1.6
BAS;20240425;16;2.0
BAS;20240426;6;0.8
BAS;20240427;59;7.7
BAS;20240428;0;0.0
BAS;20240429;28;3.6
BAS;20240430;74;9.7
BAS;20240501;69;9.1
BAS;20240502;0;0.0
BAS;20240503;1;0.1
BAS;20240504;47;6.2
BAS;20240505;10;1.4
BAS;20240506;0;0.0
BAS;20240507;0;0.0
BAS;20240508;94;12.5
BAS;20240509;15;2.0
BAS;20240510;99;13.2
BAS;20240511;99;13.2
BAS;20240512;55;7.6
BAS;20240513;62;8.5
BAS;20240514;83;11.5
BAS;20240515;7;1.0
BAS;20240516;3;0.4
BAS;20240517;21;3.0
BAS;20240518;51;7.3
BAS;20240519;63;9.0
BAS;20240520;68;9.8
BAS;20240521;2;0.3
BAS;20240522;34;5.0
BAS;20240523;8;1.1
BAS;20240524;26;3.7
BAS;20240525;55;8.0
BAS;20240526;34;5.0
BAS;20240527;7;1.1
BAS;20240528;79;11.6
BAS;20240529;2;0.2
BAS;20240530;11;1.6
BAS;20240531;0;0.0
BAS;20240601;0;0.0

