 

stn;time;uto200s0;tre200s0;rre150z0;rco150z0;sre000z0
BAS;202304091300;4.9;14.5;0.0;0;10
BAS;202304091310;5.2;15.4;0.0;0;10
BAS;202304091320;5.0;15.0;0.0;0;10
BAS;202304091330;4.8;14.2;0.0;0;10
BAS;202304091340;5.0;14.7;0.0;0;10
BAS;202304091350;5.0;14.7;0.0;0;10
BAS;202304091400;5.1;15.0;0.0;0;10
BAS;202304091410;5.0;14.9;0.0;0;10
BAS;202304091420;5.2;15.1;0.0;0;10
BAS;202304091430;5.0;15.1;0.0;0;10
BAS;202304091440;4.8;14.9;0.0;0;10
BAS;202304091450;5.0;14.8;0.0;0;10
BAS;202304091500;4.9;14.7;0.0;0;10
BAS;202304091510;4.9;14.9;0.0;0;10
BAS;202304091520;5.0;14.7;0.0;0;10
BAS;202304091530;5.3;15.0;0.0;0;10
BAS;202304091540;4.9;14.9;0.0;0;10
BAS;202304091550;4.7;14.3;0.0;0;10
BAS;202304091600;4.9;14.3;0.0;0;10
BAS;202304091610;5.1;14.3;0.0;0;10
BAS;202304091620;5.1;14.4;0.0;0;10
BAS;202304091630;5.1;14.3;0.0;0;10
BAS;202304091640;5.1;14.3;0.0;0;10
BAS;202304091650;4.8;14.1;0.0;0;10
BAS;202304091700;4.7;13.9;0.0;0;10
BAS;202304091710;4.7;13.7;0.0;0;10
BAS;202304091720;4.8;13.4;0.0;0;10
BAS;202304091730;4.8;13.2;0.0;0;10
BAS;202304091740;4.8;13.2;0.0;0;8
BAS;202304091750;4.9;12.7;0.0;0;0
BAS;202304091800;4.9;12.4;0.0;0;0
BAS;202304091810;4.9;12.2;0.0;0;0
BAS;202304091820;4.8;11.9;0.0;0;0
BAS;202304091830;4.8;11.8;0.0;0;0
BAS;202304091840;4.7;11.8;0.0;0;0
BAS;202304091850;4.7;11.6;0.0;0;0
BAS;202304091900;4.7;11.4;0.0;0;0
BAS;202304091910;4.8;10.7;0.0;0;0
BAS;202304091920;4.7;10.9;0.0;0;0
BAS;202304091930;4.9;9.7;0.0;0;0
BAS;202304091940;4.9;10.1;0.0;0;0
BAS;202304091950;4.9;9.9;0.0;0;0
BAS;202304092000;4.8;10.1;0.0;0;0
BAS;202304092010;4.9;9.4;0.0;0;0
BAS;202304092020;4.9;9.1;0.0;0;0
BAS;202304092030;5.1;7.8;0.0;0;0
BAS;202304092040;5.0;8.0;0.0;0;0
